arquivo,documento,fonte_url,paginas,data_coleta
lgpd_lei_13709.txt,Lei 13.709/2018 (LGPD),https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2018/lei/l13709.htm,33,2026-07-09
anpd_res_01_2021_regimento.pdf,Resolução CD/ANPD nº 1/2021 — Regimento Interno,https://www.gov.br/anpd/pt-br/acesso-a-informacao/institucional/atos-normativos/regulamentacoes_anpd/,14,2026-07-09
anpd_res_04_2023_dosimetria.pdf,Resolução CD/ANPD nº 4/2023 — Dosimetria e Sanções,https://www.gov.br/anpd/pt-br/assuntos/noticias/anpd-publica-regulamento-de-dosimetria/,14,2026-07-09
anpd_res_11_2023.pdf,Resolução CD/ANPD nº 11/2023,https://www.gov.br/anpd/pt-br/centrais-de-conteudo/documentos-tecnicos-orientativos/,1,2026-07-09
anpd_guia_encarregado.pdf,Guia de Atuação do Encarregado (DPO),https://www.gov.br/anpd/pt-br/centrais-de-conteudo/materiais-educativos-e-publicacoes/,42,2026-07-09
anpd_guia_cookies.pdf,Guia Orientativo — Cookies e Proteção de Dados,https://www.gov.br/anpd/pt-br/centrais-de-conteudo/materiais-educativos-e-publicacoes/,40,2026-07-09
anpd_guia_poder_publico.pdf,Guia — Tratamento de Dados pelo Poder Público,https://www.gov.br/anpd/pt-br/centrais-de-conteudo/materiais-educativos-e-publicacoes/,52,2026-07-09
anpd_guia_seguranca_informacao.pdf,Guia Segurança da Informação para ATPPs,https://www.gov.br/anpd/pt-br/centrais-de-conteudo/materiais-educativos-e-publicacoes/,21,2026-07-09
anpd_guia_legitimo_interesse.pdf,Guia — Legítimo Interesse,https://www.gov.br/anpd/pt-br/centrais-de-conteudo/materiais-educativos-e-publicacoes/,53,2026-07-09
anpd_guia_agentes_tratamento.pdf,Guia de Agentes de Tratamento e Encarregado,https://www.gov.br/anpd/pt-br/centrais-de-conteudo/materiais-educativos-e-publicacoes/,26,2026-07-09
